STT,Product Name,Description,Image URL,Category,Price (VND),Original Price (VND),Stock,Featured,New
1,Mũ Fullface AGV K1 S,"Mũ bảo hiểm thể thao, thiết kế khí động học.",https://agvvietnam.vn/wp-content/uploads/2024/05/k1-s-lap-matt-black-grey-red-motorbike-full-face-helmet-e2206.webp,Mũ Bảo Hiểm,"5,500,000","6,200,000",10,TRUE,TRUE
2,Mũ 3/4 Cổ Điển Royal,"Mũ 3/4 phong cách classic, kèm kính phi công.",https://hifa.vn/wp-content/uploads/2018/10/Royal-M20C-Xam-Xuoc-3.jpg,Mũ Bảo Hiểm,850,"1,200,000",25,FALSE,FALSE
3,Mũ Cào Cào Fox Racing,"Mũ off-road chuyên dụng, thoáng khí tối đa.",https://product.hstatic.net/200000349543/product/1280_gyhigaxya445ky3a_ac351ef158ef4fe08ff9d2b9cd1bfad5_master.png,Mũ Bảo Hiểm,"3,800,000","4,500,000",5,TRUE,FALSE
4,Áo Khoác Da Alpinestars,"Áo khoác da thật bảo hộ, chống mài mòn cao.",https://www.jokerhelmets.com/wp-content/uploads/2016/02/gpr_leather_jacket_black_white_photoshopped.jpg,Áo Khoác,"9,500,000","11,000,000",8,TRUE,TRUE
5,Áo Giáp Lưới Mùa Hè,"Áo khoác vải lưới thoáng mát, có giáp vai và tay.",https://www.jokerhelmets.com/wp-content/uploads/2023/06/sulaite-mesh-jacket.jpg,Áo Khoác,"1,200,000","1,500,000",30,FALSE,FALSE
6,Áo Mưa Bộ Givi,"Bộ quần áo mưa chống nước tuyệt đối, phản quang.",https://gsports.vn/wp-content/uploads/2022/08/givi-crs01.jpg,Áo Khoác,950,"1,000,000",50,FALSE,TRUE
7,Găng Tay Da Classic,"Găng tay da bò màu nâu, phong cách vintage.",https://pos.nvncdn.com/ac78b1-122712/ps/20230331_mOIRabcxJc.jpeg?v=1680277025,Găng Tay,850,"1,000,000",20,TRUE,FALSE
8,Găng Tay Gù Carbon,"Găng tay vải pha da, có gù carbon bảo vệ khớp.",https://bizweb.dktcdn.net/thumb/grande/100/345/516/products/gang-tay-motowolf-carbon-2.png?v=1721290193463,Găng Tay,450,600,40,FALSE,TRUE
9,Găng Tay Cụt Ngón,Găng tay hở ngón tiện lợi cho đi phố.,https://xeomshop.vn/wp-content/uploads/2022/09/XOS00264.jpg,Găng Tay,150,200,100,FALSE,FALSE
10,Giày Boot Cổ Cao TCX,"Giày bảo hộ cổ cao, chống nước Gore-tex.",https://mainguyen.sgp1.digitaloceanspaces.com/276716/conversions/giay-bao-ho-moto-tcx-tourstep-wp--11-optimize.jpg,Giày Touring,"4,500,000","5,000,000",6,TRUE,TRUE
11,Giày Sneaker Moto,Giày dáng thể thao có lót mũi số và bảo vệ mắt cá.,https://product.hstatic.net/200000751979/product/xpd_moto-1_s105_011_092eb91212b44fdb9b65b918012e0523_master.jpg,Giày Touring,"2,200,000","2,800,000",15,FALSE,TRUE
12,Giày Adventure Forma,"Giày địa hình đế gai lớn, khóa cài chắc chắn.",https://bizweb.dktcdn.net/100/504/473/products/z4853833559079-9b52f2b9d23c3ee85d6ad3e49b2e2b17.jpg?v=1705748244690,Giày Touring,"6,800,000","7,500,000",4,TRUE,FALSE
13,Balo Chống Nước 30L,"Balo cuộn miệng chống nước 100%, có phản quang.",https://bikersaigon.net/wp-content/uploads/2023/10/balo-chong-nuoc-motowolf-mdl0714-30l-den-cam.jpg,Túi & Balo,"1,200,000","1,600,000",20,TRUE,FALSE
14,Túi Hít Bình Xăng,"Túi nam châm gắn bình xăng, có ngăn đựng điện thoại.",https://mubaohiemdochanoi.com/wp-content/uploads/2024/04/tui-hit-binh-xang-givi-ea130b-26l-da-nang-13.jpg,Túi & Balo,800,950,12,FALSE,TRUE
15,Túi Treo Hông Đôi,Bộ túi vải treo hai bên hông xe cho các chuyến đi xa.,https://gsports.vn/wp-content/uploads/2023/05/tui-hong-givi-ea101b.jpg,Túi & Balo,"2,500,000","3,000,000",8,TRUE,TRUE
16,Giáp Gối Inox Pro,"Bộ bọc gối và ống chân, vỏ inox chịu va đập mạnh.",https://xeomshop.vn/wp-content/uploads/2020/12/0.jpg,Giáp Bảo Hộ,450,550,35,FALSE,FALSE
17,Áo Giáp Ngực Rời,Giáp bảo vệ ngực và lưng dạng áo ghi-lê nhựa cứng.,https://pos.nvncdn.com/37cd6c-96997/ps/20211228_VivBGDn9EFgmfg3Wyvhoh4M2.jpg?v=1673657083,Giáp Bảo Hộ,"1,800,000","2,200,000",10,TRUE,FALSE
18,Đai Lưng Bảo Vệ,Đai siết lưng hỗ trợ cột sống khi đi đường dài.,https://motowolf.vn/wp-content/uploads/2024/02/dai-lung-chong-moi-motowolf-mdl-1028-den-do-600x600.jpg,Giáp Bảo Hộ,650,800,15,FALSE,TRUE
19,Quần Jean Riding Kevlar,Quần bò thời trang lót sợi Kevlar chống mài mòn.,https://bizweb.dktcdn.net/100/504/473/products/z5218443829207-c65097080d97b9045de558dfb8c21df6-1709634923248.jpg?v=1709634957367,Quần Riding,"2,100,000","2,600,000",18,TRUE,TRUE
20,Quần Giáp Touring Vải,"Quần vải dù nhiều túi, chống nước nhẹ, có giáp gối.",https://mainguyen.sgp1.digitaloceanspaces.com/223309/conversions/quan-giap-vai-chong-nuoc-dainese-tempest-d-dry-1-optimize.jpg,Quần Riding,"3,200,000","3,800,000",7,TRUE,FALSE
21,Quần Da Racing,"Quần da bò ôm sát, có slide chà gối (puck).",https://product.hstatic.net/1000357687/product/mat_truoc_quan_di_rung_ver_3_e8638e9797734be58099717fcf9c857c_master.jpg,Quần Riding,"6,500,000","8,000,000",3,FALSE,TRUE
22,Giá Đỡ Điện Thoại Nhôm,Kẹp điện thoại hợp kim nhôm gắn ghi đông chắc chắn.,https://bikersaigon.net/wp-content/uploads/2023/10/gia-do-dien-thoai-motowolf-mdl-2827D-den-1.jpg,Phụ Kiện,250,350,80,TRUE,FALSE
23,Tai Nghe Bluetooth Intercom,Thiết bị liên lạc gắn mũ bảo hiểm kết nối nhóm.,https://hifa.vn/wp-content/uploads/2024/06/tai-nghe-bluetooth-intercom-scs-s9-3.jpg,Phụ Kiện,"1,500,000","2,000,000",22,TRUE,TRUE
24,Khóa Đĩa Báo Động,Khóa phanh đĩa tích hợp còi hú chống trộm.,https://bizweb.dktcdn.net/100/414/235/products/alarm-01.jpg?v=1624694224813,Phụ Kiện,450,600,45,FALSE,FALSE